Cluster	Protein	Name	CARD	Resfams	Mechanism	Sub_mechanism
5348	B309-2_scaffold_2494_9	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
3745	B316-1_scaffold_11219_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6645	B316-4_scaffold_41458_2	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
6479	B309-3_scaffold_20309_1	tet_MFS_efflux	NA	tet_MFS_efflux	Tetracycline MFS Efflux	Efflux
5819	B314-4_scaffold_2664_2	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
3525	B352-3_scaffold_1130_21	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
342	B310-4_scaffold_769_4	RND_efflux	NA	RND_efflux	Efflux	Efflux
5469	B346-3_scaffold_41107_2	ANT6	NA	ANT6	Nucleotidyltransferase	Nucleotidyltransferase
1900	B320-1_scaffold_0_176	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4370	B371-1_scaffold_238_72	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
2840	B316-1_scaffold_81_84	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2571	B313-3_scaffold_242_9	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6037	B326-2_scaffold_370_25	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
5139	B326-2_scaffold_370_24	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
6323	B352-4_scaffold_1227_11	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT	Acetyltransferase	Acetyltransferase
4445	B370-1_scaffold_425_58	MexH	NA	MexH	Efflux	Efflux
371	B370-1_scaffold_425_57	RND_efflux	NA	RND_efflux	Efflux	Efflux
953	B316-3_scaffold_1536_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4706	L93-5_scaffold_8138_2	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
807	B309-1_scaffold_266_6	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1616	B309-3_scaffold_780_17	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6112	B309-1_scaffold_1189_15	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT	Acetyltransferase	Acetyltransferase
2289	B310-1_scaffold_738_8	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2323	B359-3_scaffold_8901_1	macB	NA	macB	Efflux	Efflux
1436	B316-2_scaffold_1376_10	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
346	B314-2_scaffold_217_29	RND_efflux	NA	RND_efflux	Efflux	Efflux
2822	L92-2_191|phage|5066|11475_64341_5	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6034	B320-3_scaffold_529_33	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT	Acetyltransferase	Acetyltransferase
3046	L109-1_scaffold_11742_4	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3360	B316-3_scaffold_18759_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4729	B331-3_scaffold_8486_1	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
4207	B320-1_scaffold_20124_2	ClassB	NA	ClassB	Beta-Lactamase-Class B	Beta-Lactamase
5363	L109-2_scaffold_93_65	AAC3	NA	AAC3	Acetyltransferase	Acetyltransferase
6481	B314-3_scaffold_6776_2	SubclassB1	NA	SubclassB1	Beta-Lactamase-Class B	Beta-Lactamase
5839	B352-4_scaffold_30326_1	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
5988	B321-1_scaffold_1460_14	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
4287	B321-1_scaffold_1460_15	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
5559	B346-2_scaffold_3505_1	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
3039	B310-4_scaffold_5420_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4691	B371-1_scaffold_2307_2	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
4728	B321-2_scaffold_423_19	SubclassB3	NA	SubclassB3	Beta-Lactamase-Class B	Beta-Lactamase
6684	B370-4_scaffold_3215_3	soxR	Pseudomonas aeruginosa soxR	soxR	Gene Modulating Resistance	Gene Modulating Resistance
1383	B314-3_scaffold_3_61	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3119	B352-3_scaffold_5165_2	macB	NA	macB	Efflux	Efflux
560	L109-4_scaffold_6907_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
543	B370-1_scaffold_12435_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3081	B321-2_scaffold_13488_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2719	B371-6_scaffold_3906_4	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3455	B316-2_scaffold_1611_7	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
2359	B316-4_scaffold_920_36	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
799	B316-2_scaffold_3789_6	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4201	B314-2_scaffold_3464_3	MexX	NA	MexX	Efflux	Efflux
274	B314-2_scaffold_3464_4	RND_efflux	NA	RND_efflux	Efflux	Efflux
6108	B331-2_scaffold_3411_2	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
4175	L92-2_scaffold_1270_4	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
1120	L92-2_scaffold_1270_6	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3011	B357-4_scaffold_10171_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4042	B309-1_scaffold_2112_9	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
2368	B369-1_scaffold_5045_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2505	B371-3_scaffold_11595_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
292	B313-2_scaffold_11_108	RND_efflux	NA	RND_efflux	Efflux	Efflux
2794	B320-4_scaffold_245_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
808	B313-3_scaffold_489_24	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6647	B357-3_scaffold_9757_1	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT	Acetyltransferase	Acetyltransferase
3932	B313-1_scaffold_24163_1	TetM-TetW-TetO-TetS	NA	TetM-TetW-TetO-TetS	Tetracycline Ribosomal Protection	Tetracycline Resistance
5072	B314-2_scaffold_13517_2	bacA	bacA	NA	Undecaprenyl Pyrophosphate Phosphatase	Other
1947	L93-5_scaffold_110_10	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5619	B309-1_scaffold_5_216	baeR	baeR	baeR	Gene Modulating Resistance	Gene Modulating Resistance
1111	B320-4_scaffold_391_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
350	B309-1_scaffold_5_219	RND_efflux	mdtC	RND_efflux	Efflux	Efflux
4782	L93-4_scaffold_868_3	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
2742	B316-2_scaffold_8317_4	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
873	B357-5_scaffold_2951_5	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3622	B321-3_scaffold_4885_6	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6094	L93-5_scaffold_142_1	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
4208	B320-2_scaffold_8138_1	MexX	NA	MexX	Efflux	Efflux
4125	B320-1_scaffold_3093_8	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
5784	B316-2_scaffold_1102_2	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
4299	B316-2_scaffold_1102_3	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
2736	B313-1_scaffold_9515_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
88	B370-1_scaffold_401_40	RND_efflux	NA	RND_efflux	Efflux	Efflux
988	L93-5_scaffold_89_74	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5227	B369-3_scaffold_1571_28	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
3015	B371-1_scaffold_622_60	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6695	B359-2_scaffold_17222_1	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
3810	B313-3_scaffold_22206_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5230	B370-1_scaffold_7257_6	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
2843	B320-3_scaffold_6814_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1030	B321-2_scaffold_7980_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5543	B370-2_scaffold_18090_2	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
1665	B370-3_1325|phage|5397|10973_83033_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6147	B370-4_scaffold_10413_2	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT	Acetyltransferase	Acetyltransferase
3549	B320-2_scaffold_14034_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6179	B352-5_scaffold_4886_1	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
6832	L82-1_scaffold_34527_3	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
4738	B310-5_scaffold_240_15	SubclassB3	NA	SubclassB3	Beta-Lactamase-Class B	Beta-Lactamase
6270	B316-1_scaffold_7850_4	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
6005	B352-4_scaffold_5044_4	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
4797	B371-6_scaffold_42012_1	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
3227	B314-4_scaffold_17649_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1496	B352-1_scaffold_9745_2	msbA	NA	msbA	Efflux	Efflux
6038	B329-3_scaffold_93_59	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
1574	B320-1_scaffold_5574_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5943	B309-4_scaffold_11728_1	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
5166	B352-4_scaffold_113_20	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
1412	B370-1_scaffold_606_31	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6562	B316-2_scaffold_10535_6	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT	Acetyltransferase	Acetyltransferase
6866	B314-2_scaffold_27220_2	vgaC	vgaC	NA	Efflux	Efflux
2303	B316-2_scaffold_1680_17	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1693	B316-2_scaffold_5501_7	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5940	B309-3_scaffold_1938_14	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
6571	B346-3_scaffold_10082_4	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
3208	B352-4_scaffold_2465_12	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
3438	B371-1_scaffold_41596_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4690	B370-1_scaffold_47149_1	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
5016	B313-2_scaffold_332_25	vanY	NA	vanY	Gylcopeptide Resistance	Gylcopeptide Resistance
5093	B309-1_scaffold_1744_10	SubclassB3	NA	SubclassB3	Beta-Lactamase-Class B	Beta-Lactamase
6691	B369-2_scaffold_1553_1	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
42	B316-2_scaffold_1854_17	msbA	NA	msbA	Efflux	Efflux
5096	B313-2_scaffold_646_7	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
2256	B321-1_scaffold_10_6	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
6375	B314-4_scaffold_29797_2	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
1866	B346-3_scaffold_29_178	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5553	B371-3_scaffold_26705_1	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
478	B352-3_1049|phage|5091|13641_50727_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4453	B314-4_scaffold_2326_2	AAC3	NA	AAC3	Acetyltransferase	Acetyltransferase
3157	B331-2_scaffold_6413_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5144	B316-4_scaffold_27738_1	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
3586	B316-2_scaffold_23703_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
2310	B320-2_scaffold_9231_1	macB	NA	macB	Efflux	Efflux
5111	B320-1_scaffold_29975_2	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
4634	B370-1_scaffold_23493_1	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
2221	B309-2_486|phage|5604|18055_51086_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
186	B346-2_scaffold_1620_13	RND_efflux	NA	RND_efflux	Efflux	Efflux
515	L109-1_scaffold_14604_2	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5653	B309-2_scaffold_3132_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5638	B314-3_scaffold_1958_9	SubclassB2	NA	SubclassB2	Beta-Lactamase-Class B	Beta-Lactamase
5357	B329-1_scaffold_906_15	APH3	NA	APH3	Phosphotransferase	Phosphotransferase
3728	B321-3_scaffold_1925_12	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4218	B309-2_scaffold_4074_2	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
3819	B370-4_scaffold_12541_1	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
4360	L93-1_scaffold_2743_4	vanS	NA	vanS	Gene Modulating Resistance	Gene Modulating Resistance
818	B309-3_scaffold_607_29	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1895	B316-2_4246|phage|1|10202_120890_5	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1033	B335-1_scaffold_1309_10	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5708	B309-1_scaffold_129_3	vanR	NA	vanR	Gene Modulating Resistance	Gene Modulating Resistance
3256	B335-1_scaffold_2230_5	emrB	NA	emrB	Efflux	Efflux
6384	B329-1_scaffold_249_43	CRP	CRP	NA	Gene Modulating Resistance	Gene Modulating Resistance
4510	B357-5_scaffold_33621_1	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
2212	B359-3_scaffold_33_94	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1140	B371-1_scaffold_551_21	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
640	B352-1_scaffold_9586_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5844	B369-3_scaffold_13373_3	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
5027	B369-2_scaffold_1893_6	Enterobacter cloacae rob	Enterobacter cloacae rob	NA	Gene Modulating Resistance	Gene Modulating Resistance
4664	B310-1_scaffold_203_8	ClassA	NA	ClassA	Beta-Lactamase-Class A	Beta-Lactamase
2400	B320-1_133|phage|25413|58901_95884_14	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1449	B371-1_scaffold_1530_21	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
821	B313-1_scaffold_305_34	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
826	B316-4_scaffold_1187_5	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
1144	B309-1_scaffold_566_33	ABC_efflux	NA	ABC_efflux	Efflux	Efflux
