Protein	Name	CARD	Resfams
B310-1_scaffold_23618_1	TetM-TetW-TetO-TetS	NA	TetM-TetW-TetO-TetS
B370-1_scaffold_60912_1	vanS	NA	vanS
B369-3_scaffold_435_11	ABC_efflux	NA	ABC_efflux
B316-4_scaffold_27738_2	vanY	NA	vanY
B314-3_scaffold_9454_2	macB	NA	macB
B316-7_scaffold_1122_1	MexH	NA	MexH
B369-2_scaffold_2261_1	ClassA	NA	ClassA
B314-2_scaffold_1567_4	msbA	msbA	msbA
B370-1_scaffold_410_46	RND_efflux	NA	RND_efflux
B309-2_scaffold_158_69	ABC_efflux	NA	ABC_efflux
B346-3_scaffold_29289_1	ABC_efflux	NA	ABC_efflux
B314-3_scaffold_13_208	Clostridium perfringens mprF	Clostridium perfringens mprF	NA
B371-5_scaffold_24426_1	ABC_efflux	NA	ABC_efflux
B371-3_scaffold_4642_7	msbA	NA	msbA
B316-7_scaffold_5749_2	ABC_efflux	NA	ABC_efflux
L109-3_scaffold_43538_1	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_129_127	ABC_efflux	NA	ABC_efflux
B352-1_scaffold_6975_6	vanY	NA	vanY
B309-3_scaffold_17686_2	vanR	NA	vanR
L93-1_scaffold_624_22	ABC_efflux	NA	ABC_efflux
B316-4_scaffold_45634_2	ClassA	NA	ClassA
B335-1_scaffold_15235_1	ABC_efflux	NA	ABC_efflux
B320-1_scaffold_46706_1	vanY	NA	vanY
B371-1_scaffold_2700_17	vanS	NA	vanS
B370-1_scaffold_6101_5	ABC_efflux	NA	ABC_efflux
B316-2_scaffold_20081_1	ABC_efflux	NA	ABC_efflux
B371-5_scaffold_20005_2	ABC_efflux	NA	ABC_efflux
B352-3_scaffold_907_20	ABC_efflux	NA	ABC_efflux
B320-1_scaffold_1519_26	RND_efflux	NA	RND_efflux
B359-3_scaffold_393_19	vanR	NA	vanR
B310-1_scaffold_27_37	RND_efflux	NA	RND_efflux
B310-1_scaffold_251_22	RND_efflux	NA	RND_efflux
B370-3_scaffold_11447_3	ABC_efflux	NA	ABC_efflux
B316-2_scaffold_50680_2	vanS	NA	vanS
B314-1_scaffold_116_65	ClassB	NA	ClassB
B309-1_scaffold_536_9	ABC_efflux	NA	ABC_efflux
B357-5_scaffold_8488_4	ClassA	NA	ClassA
B310-4_scaffold_7342_2	bacA	bacA	NA
B316-2_scaffold_2783_13	ABC_efflux	NA	ABC_efflux
B316-1_scaffold_2082_2	msbA	NA	msbA
B309-2_scaffold_2354_6	ABC_efflux	NA	ABC_efflux
B310-4_scaffold_16388_2	ABC_efflux	NA	ABC_efflux
B309-3_scaffold_13237_2	ABC_efflux	NA	ABC_efflux
B314-3_scaffold_2591_4	SubclassB1	NA	SubclassB1
B310-4_scaffold_77_6	MexE	oqxA	MexE
B310-4_scaffold_77_7	RND_efflux	oqxB	RND_efflux
B316-1_scaffold_287_21	RND_efflux	NA	RND_efflux
B316-4_scaffold_10886_3	ABC_efflux	NA	ABC_efflux
B310-4_scaffold_661_46	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	NA
B331-2_scaffold_14_31	ABC_efflux	NA	ABC_efflux
B314-3_scaffold_523_22	ABC_efflux	NA	ABC_efflux
B371-1_1079|phage|38575|55040_166318_1	ABC_efflux	NA	ABC_efflux
B321-2_scaffold_1550_7	ABC_efflux	NA	ABC_efflux
B313-3_scaffold_18279_2	ABC_efflux	NA	ABC_efflux
B331-1_scaffold_457_24	vanY	NA	vanY
B331-1_scaffold_6618_2	ABC_efflux	NA	ABC_efflux
B369-4_scaffold_9249_2	ABC_efflux	NA	ABC_efflux
B313-3_scaffold_770_6	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_20_153	RND_efflux	NA	RND_efflux
B316-2_scaffold_14174_3	vanY	NA	vanY
B309-2_scaffold_7139_3	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_2050_17	RND_efflux	NA	RND_efflux
B370-1_scaffold_14400_1	ABC_efflux	NA	ABC_efflux
B309-2_scaffold_891_14	ABC_efflux	NA	ABC_efflux
B329-3_scaffold_3152_4	ABC_efflux	NA	ABC_efflux
B316-4_scaffold_31394_2	macB	NA	macB
L109-3_scaffold_4973_6	RND_efflux	NA	RND_efflux
L92-2_scaffold_4293_1	MexW-MexI	NA	MexW-MexI
B316-5_scaffold_3387_2	vanY	NA	vanY
B314-1_scaffold_99_41	ClassA	NA	ClassA
B309-2_scaffold_2494_9	vanY	NA	vanY
B316-1_scaffold_11219_1	ABC_efflux	NA	ABC_efflux
B316-4_scaffold_41458_2	vanY	NA	vanY
B309-3_scaffold_20309_1	tet_MFS_efflux	NA	tet_MFS_efflux
B314-4_scaffold_2664_2	vanR	NA	vanR
B352-3_scaffold_1130_21	vanS	NA	vanS
B310-4_scaffold_769_4	RND_efflux	NA	RND_efflux
B346-3_scaffold_41107_2	ANT6	NA	ANT6
B320-1_scaffold_0_176	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_238_72	ClassA	NA	ClassA
B316-1_scaffold_81_84	ABC_efflux	NA	ABC_efflux
B313-3_scaffold_242_9	ABC_efflux	NA	ABC_efflux
B326-2_scaffold_370_25	vanR	NA	vanR
B326-2_scaffold_370_24	vanS	NA	vanS
B352-4_scaffold_1227_11	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT
B370-1_scaffold_425_58	MexH	NA	MexH
B370-1_scaffold_425_57	RND_efflux	NA	RND_efflux
B316-3_scaffold_1536_2	ABC_efflux	NA	ABC_efflux
L93-5_scaffold_8138_2	ClassA	NA	ClassA
B309-1_scaffold_266_6	ABC_efflux	NA	ABC_efflux
B309-3_scaffold_780_17	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_1189_15	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT
B310-1_scaffold_738_8	ABC_efflux	NA	ABC_efflux
B359-3_scaffold_8901_1	macB	NA	macB
B316-2_scaffold_1376_10	ABC_efflux	NA	ABC_efflux
B314-2_scaffold_217_29	RND_efflux	NA	RND_efflux
L92-2_191|phage|5066|11475_64341_5	ABC_efflux	NA	ABC_efflux
B320-3_scaffold_529_33	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT
L109-1_scaffold_11742_4	ABC_efflux	NA	ABC_efflux
B316-3_scaffold_18759_2	ABC_efflux	NA	ABC_efflux
B331-3_scaffold_8486_1	vanS	NA	vanS
B320-1_scaffold_20124_2	ClassB	NA	ClassB
L109-2_scaffold_93_65	AAC3	NA	AAC3
B314-3_scaffold_6776_2	SubclassB1	NA	SubclassB1
B352-4_scaffold_30326_1	vanR	NA	vanR
B321-1_scaffold_1460_14	vanR	NA	vanR
B321-1_scaffold_1460_15	vanS	NA	vanS
B346-2_scaffold_3505_1	vanY	NA	vanY
B310-4_scaffold_5420_3	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_2307_2	ClassA	NA	ClassA
B321-2_scaffold_423_19	SubclassB3	NA	SubclassB3
B370-4_scaffold_3215_3	soxR	Pseudomonas aeruginosa soxR	soxR
B314-3_scaffold_3_61	ABC_efflux	NA	ABC_efflux
B352-3_scaffold_5165_2	macB	NA	macB
L109-4_scaffold_6907_3	ABC_efflux	NA	ABC_efflux
B370-1_scaffold_12435_2	ABC_efflux	NA	ABC_efflux
B321-2_scaffold_13488_2	ABC_efflux	NA	ABC_efflux
B371-6_scaffold_3906_4	ABC_efflux	NA	ABC_efflux
B316-2_scaffold_1611_7	vanS	NA	vanS
B316-4_scaffold_920_36	ABC_efflux	NA	ABC_efflux
B316-2_scaffold_3789_6	ABC_efflux	NA	ABC_efflux
B314-2_scaffold_3464_3	MexX	NA	MexX
B314-2_scaffold_3464_4	RND_efflux	NA	RND_efflux
B331-2_scaffold_3411_2	vanR	NA	vanR
L92-2_scaffold_1270_4	vanS	NA	vanS
L92-2_scaffold_1270_6	ABC_efflux	NA	ABC_efflux
B357-4_scaffold_10171_1	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_2112_9	vanY	NA	vanY
B369-1_scaffold_5045_1	ABC_efflux	NA	ABC_efflux
B371-3_scaffold_11595_3	ABC_efflux	NA	ABC_efflux
B313-2_scaffold_11_108	RND_efflux	NA	RND_efflux
B320-4_scaffold_245_2	ABC_efflux	NA	ABC_efflux
B313-3_scaffold_489_24	ABC_efflux	NA	ABC_efflux
B357-3_scaffold_9757_1	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT
B313-1_scaffold_24163_1	TetM-TetW-TetO-TetS	NA	TetM-TetW-TetO-TetS
B314-2_scaffold_13517_2	bacA	bacA	NA
L93-5_scaffold_110_10	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_5_216	baeR	baeR	baeR
B320-4_scaffold_391_3	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_5_219	RND_efflux	mdtC	RND_efflux
L93-4_scaffold_868_3	vanS	NA	vanS
B316-2_scaffold_8317_4	ABC_efflux	NA	ABC_efflux
B357-5_scaffold_2951_5	ABC_efflux	NA	ABC_efflux
B321-3_scaffold_4885_6	ABC_efflux	NA	ABC_efflux
L93-5_scaffold_142_1	vanR	NA	vanR
B320-2_scaffold_8138_1	MexX	NA	MexX
B320-1_scaffold_3093_8	vanS	NA	vanS
B316-2_scaffold_1102_2	vanR	NA	vanR
B316-2_scaffold_1102_3	vanS	NA	vanS
B313-1_scaffold_9515_2	ABC_efflux	NA	ABC_efflux
B370-1_scaffold_401_40	RND_efflux	NA	RND_efflux
L93-5_scaffold_89_74	ABC_efflux	NA	ABC_efflux
B369-3_scaffold_1571_28	ClassA	NA	ClassA
B371-1_scaffold_622_60	ABC_efflux	NA	ABC_efflux
B359-2_scaffold_17222_1	vanY	NA	vanY
B313-3_scaffold_22206_1	ABC_efflux	NA	ABC_efflux
B370-1_scaffold_7257_6	vanY	NA	vanY
B320-3_scaffold_6814_1	ABC_efflux	NA	ABC_efflux
B321-2_scaffold_7980_1	ABC_efflux	NA	ABC_efflux
B370-2_scaffold_18090_2	vanY	NA	vanY
B370-3_1325|phage|5397|10973_83033_3	ABC_efflux	NA	ABC_efflux
B370-4_scaffold_10413_2	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT
B320-2_scaffold_14034_1	ABC_efflux	NA	ABC_efflux
B352-5_scaffold_4886_1	vanR	NA	vanR
L82-1_scaffold_34527_3	ClassA	NA	ClassA
B310-5_scaffold_240_15	SubclassB3	NA	SubclassB3
B316-1_scaffold_7850_4	ClassA	NA	ClassA
B352-4_scaffold_5044_4	vanR	NA	vanR
B371-6_scaffold_42012_1	ClassA	NA	ClassA
B314-4_scaffold_17649_1	ABC_efflux	NA	ABC_efflux
B352-1_scaffold_9745_2	msbA	NA	msbA
B329-3_scaffold_93_59	vanR	NA	vanR
B320-1_scaffold_5574_1	ABC_efflux	NA	ABC_efflux
B309-4_scaffold_11728_1	vanR	NA	vanR
B352-4_scaffold_113_20	vanY	NA	vanY
B370-1_scaffold_606_31	ABC_efflux	NA	ABC_efflux
B316-2_scaffold_10535_6	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT
B314-2_scaffold_27220_2	vgaC	vgaC	NA
B316-2_scaffold_1680_17	ABC_efflux	NA	ABC_efflux
B316-2_scaffold_5501_7	ABC_efflux	NA	ABC_efflux
B309-3_scaffold_1938_14	vanR	NA	vanR
B346-3_scaffold_10082_4	vanY	NA	vanY
B352-4_scaffold_2465_12	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_41596_1	ABC_efflux	NA	ABC_efflux
B370-1_scaffold_47149_1	vanS	NA	vanS
B313-2_scaffold_332_25	vanY	NA	vanY
B309-1_scaffold_1744_10	SubclassB3	NA	SubclassB3
B369-2_scaffold_1553_1	ClassA	NA	ClassA
B316-2_scaffold_1854_17	msbA	NA	msbA
B313-2_scaffold_646_7	ClassA	NA	ClassA
B321-1_scaffold_10_6	ABC_efflux	NA	ABC_efflux
B314-4_scaffold_29797_2	vanR	NA	vanR
B346-3_scaffold_29_178	ABC_efflux	NA	ABC_efflux
B371-3_scaffold_26705_1	vanS	NA	vanS
B352-3_1049|phage|5091|13641_50727_1	ABC_efflux	NA	ABC_efflux
B314-4_scaffold_2326_2	AAC3	NA	AAC3
B331-2_scaffold_6413_1	ABC_efflux	NA	ABC_efflux
B316-4_scaffold_27738_1	vanS	NA	vanS
B316-2_scaffold_23703_2	ABC_efflux	NA	ABC_efflux
B320-2_scaffold_9231_1	macB	NA	macB
B320-1_scaffold_29975_2	ClassA	NA	ClassA
B370-1_scaffold_23493_1	vanS	NA	vanS
B309-2_486|phage|5604|18055_51086_1	ABC_efflux	NA	ABC_efflux
B346-2_scaffold_1620_13	RND_efflux	NA	RND_efflux
L109-1_scaffold_14604_2	ABC_efflux	NA	ABC_efflux
B309-2_scaffold_3132_1	ABC_efflux	NA	ABC_efflux
B314-3_scaffold_1958_9	SubclassB2	NA	SubclassB2
B329-1_scaffold_906_15	APH3	NA	APH3
B321-3_scaffold_1925_12	ABC_efflux	NA	ABC_efflux
B309-2_scaffold_4074_2	vanS	NA	vanS
B370-4_scaffold_12541_1	ABC_efflux	NA	ABC_efflux
L93-1_scaffold_2743_4	vanS	NA	vanS
B309-3_scaffold_607_29	ABC_efflux	NA	ABC_efflux
B316-2_4246|phage|1|10202_120890_5	ABC_efflux	NA	ABC_efflux
B335-1_scaffold_1309_10	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_129_3	vanR	NA	vanR
B335-1_scaffold_2230_5	emrB	NA	emrB
B329-1_scaffold_249_43	CRP	CRP	NA
B357-5_scaffold_33621_1	ClassA	NA	ClassA
B359-3_scaffold_33_94	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_551_21	ABC_efflux	NA	ABC_efflux
B352-1_scaffold_9586_3	ABC_efflux	NA	ABC_efflux
B369-3_scaffold_13373_3	ABC_efflux	NA	ABC_efflux
B369-2_scaffold_1893_6	Enterobacter cloacae rob	Enterobacter cloacae rob	NA
B310-1_scaffold_203_8	ClassA	NA	ClassA
B320-1_133|phage|25413|58901_95884_14	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_1530_21	ABC_efflux	NA	ABC_efflux
B313-1_scaffold_305_34	ABC_efflux	NA	ABC_efflux
B316-4_scaffold_1187_5	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_566_33	ABC_efflux	NA	ABC_efflux
B310-1_scaffold_14044_2	SubclassB1	NA	SubclassB1
B352-5_scaffold_18798_3	AAC3	NA	AAC3
B316-1_scaffold_546_34	ABC_efflux	NA	ABC_efflux
B320-4_scaffold_6919_1	tet_ribosomoal_protect	NA	tet_ribosomoal_protect
B309-3_scaffold_180_38	SubclassB1	NA	SubclassB1
L82-1_scaffold_5666_1	vanS	NA	vanS
B326-2_scaffold_1896_13	SubclassB3	NA	SubclassB3
B320-1_scaffold_13335_1	vanY	NA	vanY
B320-3_scaffold_1862_6	ClassA	NA	ClassA
B357-6_scaffold_35530_1	ClassA	NA	ClassA
B309-3_scaffold_2589_7	ABC_efflux	NA	ABC_efflux
B352-5_scaffold_1431_14	ClassB	NA	ClassB
B313-1_scaffold_6241_4	MexE	NA	MexE
L93-5_scaffold_38_289	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_1529_6	vanR	NA	vanR
B309-1_1400|phage|1|6414_37223_8	ABC_efflux	NA	ABC_efflux
B309-3_1768|phage|9779|18291_61933_1	ABC_efflux	NA	ABC_efflux
L93-5_scaffold_12692_1	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_12_90	ABC_efflux	NA	ABC_efflux
B331-3_scaffold_7802_1	APH3'	NA	APH3'
B309-3_scaffold_4830_2	cdeA	cdeA	NA
B309-1_scaffold_722_7	ABC_efflux	NA	ABC_efflux
B321-1_scaffold_1989_3	ClassB	NA	ClassB
B352-1_scaffold_223_3	ABC_efflux	NA	ABC_efflux
B321-2_scaffold_6285_1	ABC_efflux	NA	ABC_efflux
B335-1_scaffold_4839_3	ABC_efflux	NA	ABC_efflux
B314-4_scaffold_1215_2	ABC_efflux	NA	ABC_efflux
B321-2_scaffold_11091_2	vanY	NA	vanY
B320-2_scaffold_9271_2	ABC_efflux	NA	ABC_efflux
B316-2_3808|phage|1|12031_120879_6	msbA	NA	msbA
L93-6_scaffold_1152_4	ABC_efflux	NA	ABC_efflux
B316-2_3808|phage|1|12031_120879_1	ABC_efflux	NA	ABC_efflux
B313-3_scaffold_11267_2	ClassA	NA	ClassA
B309-1_scaffold_932_4	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_157_79	ABC_efflux	NA	ABC_efflux
B357-1_scaffold_5039_4	ClassA	NA	ClassA
B310-4_scaffold_4595_3	vanX	vanXD	vanX
B316-1_scaffold_5465_3	ABC_efflux	NA	ABC_efflux
B310-4_scaffold_252_26	FosA5	FosA5	NA
B352-1_scaffold_2801_5	SubclassB1	NA	SubclassB1
B371-1_scaffold_31190_2	ABC_efflux	NA	ABC_efflux
B335-1_scaffold_1483_12	SubclassB2	NA	SubclassB2
B331-1_scaffold_5155_2	ABC_efflux	NA	ABC_efflux
L82-2_scaffold_17708_1	ABC_efflux	NA	ABC_efflux
B310-1_scaffold_1980_1	ABC_efflux	NA	ABC_efflux
B329-3_scaffold_5003_5	AAC3	NA	AAC3
B320-5_scaffold_5055_5	ClassA	NA	ClassA
B310-4_scaffold_133_11	ABC_efflux	NA	ABC_efflux
B320-1_scaffold_555_5	RND_efflux	NA	RND_efflux
B321-1_scaffold_39_102	RND_efflux	NA	RND_efflux
B370-4_scaffold_14396_1	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_61_136	mdtH	mdtH	NA
B310-5_scaffold_1634_2	pmrA	pmrA	NA
B359-2_scaffold_1204_16	ABC_efflux	NA	ABC_efflux
B316-2_scaffold_229_34	ABC_efflux	NA	ABC_efflux
B352-3_scaffold_21765_1	vanR	NA	vanR
B370-3_scaffold_4489_1	ClassA	NA	ClassA
B331-2_scaffold_75_5	ABC_efflux	NA	ABC_efflux
B371-5_scaffold_7949_2	ABC_efflux	NA	ABC_efflux
B331-4_scaffold_8905_1	MexH	NA	MexH
B313-4_scaffold_18_96	ABC_efflux	NA	ABC_efflux
B321-1_scaffold_3302_4	SubclassB1	NA	SubclassB1
B316-2_scaffold_10372_2	ABC_efflux	NA	ABC_efflux
L109-4_scaffold_8957_2	ABC_efflux	NA	ABC_efflux
B370-1_scaffold_3547_11	vanS	NA	vanS
B314-3_scaffold_1367_6	ABC_efflux	NA	ABC_efflux
B313-1_scaffold_3831_7	RND_efflux	NA	RND_efflux
B316-3_scaffold_3985_3	ClassA	NA	ClassA
B310-4_scaffold_12427_4	vanS	NA	vanS
B321-3_scaffold_4349_1	MexW-MexI	NA	MexW-MexI
B371-1_scaffold_21822_1	ABC_efflux	NA	ABC_efflux
B314-1_scaffold_17112_2	ABC_efflux	NA	ABC_efflux
B309-1_scaffold_114_3	ABC_efflux	NA	ABC_efflux
B316-4_scaffold_24326_2	ABC_efflux	NA	ABC_efflux
B314-2_scaffold_6778_2	baeR	baeR	NA
L82-1_scaffold_7671_3	SubclassB2	NA	SubclassB2
B314-3_scaffold_121_47	vanR	NA	vanR
B314-3_scaffold_121_46	vanS	NA	vanS
B316-3_scaffold_119_40	vanR	NA	vanR
B309-1_scaffold_481_18	ABC_efflux	NA	ABC_efflux
B320-1_scaffold_204_7	vanR	NA	vanR
B316-3_scaffold_658_24	vanR	NA	vanR
B310-5_scaffold_1071_4	ABC_efflux	NA	ABC_efflux
B314-1_scaffold_4177_2	ABC_efflux	NA	ABC_efflux
B326-2_scaffold_876_3	RND_efflux	NA	RND_efflux
B357-6_scaffold_4309_2	ClassB	NA	ClassB
B313-2_scaffold_85_35	ABC_efflux	NA	ABC_efflux
B316-3_scaffold_602_33	ABC_efflux	NA	ABC_efflux
B316-2_scaffold_19938_2	ABC_efflux	NA	ABC_efflux
B313-1_scaffold_10758_2	vanY	NA	vanY
B320-1_scaffold_17964_3	vanR	NA	vanR
B352-3_scaffold_17_101	RND_efflux	NA	RND_efflux
B370-1_scaffold_2880_6	ABC_efflux	NA	ABC_efflux
B310-4_scaffold_1731_7	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	NA
B316-2_scaffold_9244_5	vanS	NA	vanS
B370-1_scaffold_3907_14	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_184_67	ClassA	NA	ClassA
B314-2_scaffold_21564_2	baeR	baeR	NA
B371-1_scaffold_481_30	MexE	NA	MexE
B371-4_scaffold_1102_21	ABC_efflux	NA	ABC_efflux
B357-4_scaffold_7202_2	ABC_efflux	NA	ABC_efflux
B316-3_scaffold_21229_1	ABC_efflux	NA	ABC_efflux
B309-3_scaffold_345_64	vanS	NA	vanS
B346-3_scaffold_1083_16	vanR	NA	vanR
B370-1_scaffold_3363_11	ClassA	NA	ClassA
B313-3_scaffold_437_24	Chlor_Acetyltrans_CAT	NA	Chlor_Acetyltrans_CAT
B316-3_scaffold_26966_2	vanS	NA	vanS
B313-3_scaffold_12449_1	ABC_efflux	NA	ABC_efflux
B313-2_scaffold_57_16	ABC_efflux	NA	ABC_efflux
B310-1_scaffold_2966_1	ABC_efflux	NA	ABC_efflux
B314-4_scaffold_10784_2	vanS	NA	vanS
B310-4_scaffold_5757_3	tet_ribosomoal_protect	tetO	tet_ribosomoal_protect
B329-3_scaffold_1847_1	ClassB	NA	ClassB
B329-1_scaffold_4627_2	ABC_efflux	NA	ABC_efflux
B321-1_scaffold_3_222	ABC_efflux	NA	ABC_efflux
B370-1_scaffold_2359_17	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_2978_4	RND_efflux	NA	RND_efflux
B309-2_scaffold_1882_10	vanR	NA	vanR
L93-5_scaffold_2285_7	ClassA	NA	ClassA
B309-3_scaffold_21289_2	ClassA	NA	ClassA
B357-2_scaffold_10258_2	MexH	NA	MexH
L109-4_scaffold_51208_2	vanY	NA	vanY
B371-1_scaffold_11872_4	vanR	NA	vanR
B309-2_scaffold_17340_2	vanY	NA	vanY
B310-1_scaffold_246_42	ABC_efflux	NA	ABC_efflux
L109-4_scaffold_4290_8	ABC_efflux	NA	ABC_efflux
B310-4_scaffold_1102_4	RND_efflux	NA	RND_efflux
B310-4_scaffold_1102_5	MexE	NA	MexE
B309-1_scaffold_119_64	RND_efflux	NA	RND_efflux
B359-2_scaffold_2422_4	ClassB	NA	ClassB
B314-4_scaffold_12166_1	ABC_efflux	NA	ABC_efflux
B316-1_scaffold_19843_2	ABC_efflux	NA	ABC_efflux
B321-2_scaffold_26887_1	vanY	NA	vanY
B316-2_scaffold_3967_3	ABC_efflux	NA	ABC_efflux
B329-1_scaffold_906_3	APH3	NA	APH3
B314-1_scaffold_10456_1	ABC_efflux	NA	ABC_efflux
L82-2_scaffold_7073_10	ABC_efflux	NA	ABC_efflux
B371-1_scaffold_4855_9	SubclassB3	NA	SubclassB3
B371-1_scaffold_4855_4	ABC_efflux	NA	ABC_efflux
B335-2_scaffold_6464_1	ABC_efflux	NA	ABC_efflux
B346-3_scaffold_22939_1	vanY	NA	vanY
B370-4_scaffold_468_1	ABC_efflux	NA	ABC_efflux
B310-1_scaffold_18953_1	vanS	NA	vanS
L92-2_scaffold_6474_2	APH6	APH(6)-Id	APH6
B331-4_scaffold_2984_2	vanR	vanRD	vanR
B310-1_scaffold_1022_1	vanS	NA	vanS
B310-1_scaffold_1022_2	vanR	NA	vanR
B314-1_scaffold_9925_1	tet_MFS_efflux	NA	tet_MFS_efflux
B329-1_scaffold_397_4	msbA	NA	msbA
B369-4_scaffold_7901_3	ANT6	NA	ANT6
B314-1_scaffold_2213_2	macB	NA	macB
B357-4_4077|phage|1197|8017_121715_4	ABC_efflux	NA	ABC_efflux
B359-2_scaffold_9351_2	vanS	NA	vanS
B359-2_scaffold_9351_1	vanR	NA	vanR
B313-3_scaffold_332_43	ABC_efflux	NA	ABC_efflux
B370-1_scaffold_35422_1	ClassA	NA	ClassA
B309-1_scaffold_10342_1	vanS	NA	vanS
B309-1_scaffold_10342_2	vanR	NA	vanR
B370-2_scaffold_204_2	RND_efflux	NA	RND_efflux
B316-4_scaffold_33_81	vanS	NA	vanS
B316-4_scaffold_33_82	vanR	NA	vanR
B310-3_scaffold_4360_4	SubclassB3	NA	SubclassB3
B309-1_scaffold_3907_1	ABC_efflux	NA	ABC_efflux
B352-4_scaffold_301_12	MexE	NA	MexE
B310-2_scaffold_23_110	vanY	NA	vanY
